time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1,836540;0,0217;0,0973;-0,0685;0,121
1,842461;0,0215;0,0943;-0,0991;0,138
1,846262;0,0497;0,0392;-0,1109;0,128
1,851113;0,0755;0,0369;-0,0705;0,110
1,856644;0,0939;0,0442;-0,1018;0,145
1,862626;0,0860;0,0253;-0,0759;0,117
1,873653;0,1234;0,0019;-0,0695;0,142
1,875554;0,1298;0,0168;-0,0727;0,150
1,876485;0,1527;-0,0207;-0,0522;0,163
1,881330;0,1284;-0,0293;-0,0770;0,153
1,889068;0,1282;-0,0639;-0,0493;0,151
1,891348;0,1211;-0,0270;-0,0837;0,150
1,896040;0,0882;-0,0545;-0,0371;0,110
1,902546;0,0391;-0,0509;0,0115;0,065
1,906843;-0,0121;-0,0852;-0,0258;0,090
1,910776;0,0037;-0,1097;-0,0013;0,110
1,916301;0,0094;-0,1032;0,0111;0,104
1,920640;0,0221;-0,1559;0,0468;0,164
1,926645;-0,0083;-0,1251;0,0918;0,155
1,930402;-0,0102;-0,1065;0,1246;0,164
1,935623;0,0352;-0,0976;0,1429;0,177
1,941740;0,0611;-0,1079;0,1542;0,198
1,947049;0,0583;-0,1134;0,1420;0,191
1,951066;0,0604;-0,0620;0,1252;0,152
1,955430;0,0413;-0,0752;0,1111;0,140
1,962249;0,0248;-0,0385;0,0974;0,108
1,972091;-0,0222;-0,0116;0,0364;0,044
1,973481;-0,0354;-0,0301;0,0353;0,058
1,975159;-0,0745;-0,0177;0,0344;0,084
1,986256;-0,0991;-0,0599;0,0240;0,118
1,988240;-0,0950;-0,0710;0,0280;0,122
1,991431;-0,0936;-0,0939;0,0251;0,135
1,994935;-0,0968;-0,0502;0,0080;0,109
2,001684;-0,0716;-0,0498;0,0031;0,087
2,006339;-0,0706;-0,0209;0,0128;0,075
2,010178;-0,0437;-0,0019;0,0250;0,050
2,017236;-0,0432;-0,0045;0,0301;0,053
2,021041;0,0047;-0,0381;-0,0002;0,038
2,024705;0,0308;-0,0311;-0,0135;0,046
2,030035;0,0115;0,0020;0,0065;0,013
2,034862;-0,0337;-0,0174;-0,0093;0,039
2,041107;0,0092;-0,0058;-0,0297;0,032
2,045246;0,0373;-0,0156;-0,0501;0,064
2,050801;0,0367;-0,0038;-0,0707;0,080
2,054735;0,0312;0,0294;-0,0675;0,080
2,059558;0,0235;0,0386;-0,0573;0,073
2,067226;0,0491;0,0192;-0,0901;0,104
2,069944;0,0840;0,0097;-0,1015;0,132
2,074525;0,0522;0,0050;-0,1247;0,135
2,081288;0,0420;-0,0304;-0,1147;0,126
2,089881;0,0533;-0,0489;-0,1122;0,133
2,091367;0,0500;-0,0457;-0,0717;0,099
2,094648;0,0729;-0,0379;-0,0649;0,105
2,105811;0,0575;-0,0373;-0,0509;0,085
2,107249;0,0849;-0,0461;-0,0631;0,115
2,109156;0,1144;-0,0573;-0,0419;0,135
2,113966;0,1224;-0,0328;-0,0328;0,131
2,119309;0,1354;0,0271;-0,0025;0,138
2,125248;0,1080;0,0653;0,0228;0,128
2,130412;0,0645;0,0556;0,0336;0,092
2,134421;0,0215;0,0509;0,0276;0,062
2,140589;-0,0021;0,0343;0,0476;0,059
2,145630;-0,0183;0,0561;0,0221;0,063
2,150713;0,0013;0,0326;0,0322;0,046
2,153843;-0,0244;0,0331;0,0326;0,052
2,160548;-0,0333;-0,0091;0,0401;0,053
2,173031;-0,0496;-0,0247;0,0425;0,070
