time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1.934759;-0.0371;-0.4961;0.3524;0.610
1.939459;-0.0114;-0.3934;0.4141;0.571
1.944105;0.1068;-0.1970;0.4238;0.479
1.949719;0.2841;-0.0360;0.3824;0.478
1.954179;0.2788;0.0426;0.2712;0.391
1.957837;0.2404;0.0680;0.1622;0.298
1.964796;0.2176;0.1309;0.0174;0.255
1.972467;0.2252;0.2122;-0.1155;0.330
1.974040;0.2393;0.2786;-0.2513;0.445
1.979849;0.2080;0.1547;-0.3384;0.426
1.983745;0.1930;0.0369;-0.3207;0.376
1.988212;0.1605;-0.0843;-0.3085;0.358
1.994951;0.1290;-0.1946;-0.2929;0.375
1.999824;0.1454;-0.3464;-0.1650;0.410
2.003747;0.1469;-0.4109;0.0074;0.436
2.008643;0.1333;-0.2895;0.1343;0.346
2.013490;0.1900;-0.1261;0.1638;0.281
2.019592;0.2211;-0.0161;0.1444;0.265
2.023498;0.2130;0.1501;0.1433;0.297
2.029869;0.2331;0.2295;0.1890;0.378
2.034056;0.1865;0.3034;0.2345;0.426
2.038983;0.1546;0.4241;0.2186;0.502
2.043196;0.2139;0.4771;0.1233;0.537
2.047123;0.2450;0.4155;-0.0084;0.482
2.053619;0.1818;0.3211;-0.1196;0.388
2.057957;0.1865;0.1231;-0.1820;0.288
2.063489;0.1728;-0.0778;-0.1824;0.263
2.071944;0.2027;-0.1961;-0.1929;0.342
2.073991;0.1716;-0.2231;-0.2133;0.353
2.076989;0.0798;-0.2162;-0.2391;0.332
2.082327;0.0132;-0.2280;-0.1994;0.303
2.094192;-0.0428;-0.2489;-0.1518;0.295
2.095914;-0.0737;-0.2500;-0.1206;0.287
2.098137;-0.1135;-0.1937;0.0324;0.227
2.116756;-0.2529;-0.0047;0.1879;0.315
2.119218;-0.3023;0.3155;0.3277;0.546
2.120266;-0.1349;0.5378;0.3911;0.678
2.121238;0.0624;0.5962;0.3365;0.687
2.123005;0.4375;0.4826;0.1370;0.666
2.127615;0.5723;0.2366;-0.1780;0.644
2.132443;0.3558;0.0306;-0.3521;0.502
2.136876;0.0567;-0.0454;-0.2349;0.246
2.142417;-0.0302;-0.1350;0.0433;0.145
2.147100;-0.0729;-0.1624;0.2301;0.291
2.153740;-0.0008;-0.0902;0.1178;0.148
2.157228;0.1759;-0.1375;-0.1303;0.258
2.162316;0.1951;-0.2127;-0.2861;0.406
2.166649;0.0768;-0.2207;-0.2231;0.323
2.172814;-0.1364;-0.2188;-0.1475;0.297
2.177196;0.0302;0.0824;-0.1930;0.212
2.182061;0.0802;0.2865;-0.0925;0.312
2.191185;0.1194;0.2989;0.1110;0.340
2.192825;0.1339;0.2779;0.2795;0.416
2.196729;0.4235;-0.0708;0.6566;0.785
2.209387;0.2770;-0.2128;0.7961;0.869
2.210802;-0.4223;0.0400;0.5713;0.712
2.211873;-0.7561;0.2665;0.3687;0.882
2.217077;-0.4477;0.3484;-0.1882;0.598
2.222903;0.0431;0.3587;-0.5135;0.628
2.225764;0.1841;0.2411;-0.6714;0.737
2.232040;0.0302;0.1251;-0.4214;0.441
2.236332;-0.1508;0.0864;-0.0942;0.198
2.241566;-0.1311;0.2049;0.0061;0.243
2.246878;-0.1115;0.3321;0.0243;0.351
2.253212;-0.0210;0.3491;0.0467;0.353
2.255309;0.0071;0.1808;0.0261;0.183
2.261954;0.0157;-0.0762;0.0147;0.079
2.266113;0.0191;-0.3120;-0.0304;0.314
2.272556;-0.0350;-0.4033;-0.0424;0.407
2.275641;-0.0851;-0.4700;-0.0742;0.483
2.280356;-0.1313;-0.3747;-0.1255;0.416
2.294838;-0.1073;-0.2659;-0.1818;0.340
2.297370;-0.0614;-0.1533;-0.2622;0.310
2.298377;-0.0126;0.0107;-0.2147;0.215
2.316242;-0.0554;0.1591;-0.1394;0.219
2.318410;-0.1369;0.2016;0.0160;0.244
2.319272;-0.1712;0.1153;0.0854;0.223
2.319965;-0.1249;-0.0038;0.0746;0.146
2.323633;-0.0032;-0.1698;0.0603;0.180
2.325928;0.1132;-0.2729;0.0759;0.305
2.331247;0.1105;-0.2616;0.0597;0.290
2.336532;0.0562;-0.2600;0.0398;0.269
2.341129;0.0407;-0.2205;0.0729;0.236
2.345327;-0.0408;-0.1624;0.0823;0.187
2.350620;-0.0501;-0.0431;0.1298;0.146
2.355898;0.0142;0.0371;-0.0682;0.079
2.360747;-0.6387;0.4441;-0.2052;0.805
2.366188;-0.4909;0.6532;0.4173;0.918
2.375534;0.0393;0.6755;0.1693;0.698
2.377147;0.1914;0.4321;0.1127;0.486
2.380874;-0.0835;0.0246;0.2230;0.239
2.390024;-0.3653;-0.1469;0.2377;0.460
2.391406;-0.2272;-0.0890;0.1098;0.268
2.395378;0.0377;-0.0934;0.0255;0.104
2.400257;0.0866;-0.2258;-0.0396;0.245
2.405742;-0.0074;-0.2762;-0.0095;0.277
2.411745;-0.0584;-0.2646;-0.0226;0.272
2.415644;-0.0573;-0.2150;-0.0123;0.223
2.420214;-0.0379;-0.1041;-0.0356;0.116
2.426204;0.0615;0.1009;-0.1399;0.183
2.431088;0.0598;0.0144;-0.1718;0.183
2.434649;-0.0222;-0.1238;-0.0411;0.132
2.441183;-0.1317;0.0095;0.1517;0.201
2.446565;-0.1169;0.2126;0.2872;0.376
2.451218;-0.0123;0.3473;0.2893;0.452
2.455365;-0.0565;0.4238;0.4765;0.640
2.460156;-0.1491;0.3334;0.6525;0.748
2.465259;-0.1136;0.2102;0.9133;0.944
2.472816;-0.0507;0.1634;0.8982;0.914
2.474016;0.0108;0.0928;0.8518;0.857
2.481136;0.0570;0.0033;0.6649;0.667
2.485577;0.1643;-0.0432;0.4099;0.444
