time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
2.213655;0.0125;-0.0541;-0.0009;0.056
2.216609;0.0249;-0.0462;0.0399;0.066
2.230403;0.0421;-0.0621;0.0734;0.105
2.231655;0.0378;-0.0327;0.1161;0.126
2.233066;0.0050;-0.0155;0.1468;0.148
2.236759;0.0438;0.0016;0.1845;0.190
2.243080;0.0279;0.0257;0.2103;0.214
2.248125;0.0120;0.0376;0.1980;0.202
2.252408;0.0176;0.0447;0.2313;0.236
2.257038;0.0229;0.0469;0.2406;0.246
2.262731;0.0092;0.0348;0.2526;0.255
2.267976;-0.0164;0.0370;0.2291;0.233
2.275111;-0.0180;0.0035;0.2274;0.228
2.276781;0.0088;-0.0059;0.2068;0.207
2.281548;0.0093;0.0084;0.2032;0.204
2.286672;0.0026;-0.0130;0.1689;0.169
2.293730;-0.0255;0.0085;0.1515;0.154
2.297527;-0.0248;0.0108;0.1222;0.125
2.303192;-0.0217;0.0131;0.0883;0.092
2.316057;-0.0567;-0.0036;0.0714;0.091
2.317004;-0.0320;0.0060;0.0166;0.037
2.317526;-0.0289;-0.0106;0.0048;0.031
2.322839;-0.0401;-0.0318;0.0356;0.062
2.328277;0.0035;-0.0552;0.0091;0.056
2.332895;0.0231;-0.0498;0.0113;0.056
2.336870;0.0235;-0.0516;-0.0081;0.057
2.342091;0.0525;-0.0320;0.0008;0.061
2.347833;0.0574;-0.0387;0.0118;0.070
2.352152;0.0434;-0.0452;-0.0155;0.065
2.356264;0.0605;-0.0184;-0.0117;0.064
2.362252;0.0679;0.0058;-0.0059;0.068
2.365835;0.0326;0.0132;-0.0100;0.037
2.371925;0.0355;0.0539;0.0024;0.065
2.375927;0.0193;0.0705;0.0144;0.074
2.381769;0.0508;0.0584;0.0286;0.083
2.387046;0.0320;0.0797;0.0614;0.106
2.393002;0.0347;0.0534;0.0914;0.111
2.396061;0.0303;0.0487;0.0807;0.099
2.403355;-0.0145;0.0463;0.1130;0.123
2.407836;-0.0094;0.0273;0.1212;0.125
2.412287;-0.0091;0.0299;0.1175;0.122
2.416925;-0.0516;0.0015;0.1211;0.132
2.421801;-0.0181;-0.0030;0.1344;0.136
2.427831;-0.0443;-0.0147;0.1074;0.117
2.432752;-0.0516;0.0284;0.0974;0.114
2.435337;-0.0448;-0.0145;0.0971;0.108
2.442292;-0.0857;-0.0001;0.0733;0.113
2.446701;-0.0528;-0.0239;0.0403;0.071
2.451277;-0.0702;-0.0119;0.0339;0.079
2.454769;-0.0259;-0.0118;0.0371;0.047
2.461607;-0.0532;0.0143;0.0498;0.074
2.466507;-0.0306;0.0093;0.0101;0.034
2.471304;-0.0177;0.0376;0.0278;0.050
2.475841;0.0068;0.0252;-0.0307;0.040
2.481416;0.0217;0.0415;-0.0296;0.055
2.484951;0.0078;0.0220;-0.0071;0.024
2.491999;0.0107;0.0431;-0.0396;0.060
2.494902;0.0230;0.0403;-0.0458;0.065
2.501680;0.0020;0.0517;-0.0187;0.055
2.505667;0.0074;0.0631;-0.0372;0.074
2.514950;0.0054;0.0411;-0.0342;0.054
2.516349;0.0343;0.0573;-0.0670;0.095
2.522313;0.0156;0.0354;-0.0306;0.049
2.532093;0.0114;0.0090;-0.0515;0.054
2.533398;-0.0023;0.0445;-0.0131;0.046
2.534074;0.0127;0.0180;0.0084;0.024
2.541134;-0.0033;0.0416;0.0274;0.050
2.545207;-0.0094;0.0389;0.0463;0.061
2.550461;-0.0107;0.0363;0.0319;0.049
2.554202;-0.0120;0.0051;0.0485;0.050
2.560312;-0.0013;0.0099;0.0343;0.036
2.564067;-0.0238;0.0193;0.0320;0.044
